depth,density,caliper,mag_suscep,scaler_tmi,total_gamma,lithology
363.0,2.2695806683313853,101.45708454810496,1.438444385823754,-124.41773682427275,52.02090050026791,suevite
363.5,2.384460317460318,100.90448979591838,1.3374822920938778,-121.87367114902736,50.43488337307815,suevite
364.0,2.2702807022756963,101.42195342573781,1.3376117708446418,-138.4448866454917,50.31791590225774,suevite
364.5,2.2706316339966364,101.4044079913204,1.4599928643160425,-154.11770750636123,50.88034125446353,suevite
365.0,2.4287142857142863,101.41457725947522,1.337881270882681,-49.93691225575094,49.86511828603976,suevite
365.5,2.271335326936084,101.36258059065375,1.3380212921699557,194.41680647633157,49.52928814064217,suevite
366.0,2.2716880881545927,101.33829862440452,1.4697199085198849,264.57466312538963,49.12050377038554,suevite
366.5,2.3519206349206354,101.89632653061226,1.338311877281016,-120.97022676732377,48.06896005199036,suevite
367.0,2.272395440089177,101.28299816007427,1.4288793018700985,-749.4287247910397,48.08407235529512,suevite
367.5,2.3115714285714293,101.25197966199326,1.4193835502153238,-1492.1729371004694,47.456425310461306,suevite
368.0,2.2731052313538536,100.79113702623908,1.3348902188731282,-1958.2439157414883,46.13516981621581,suevite
368.5,2.393571428571429,101.18466639374705,1.4163218358967284,-2072.030519131964,45.98226854621653,suevite
369.0,2.27381746194862,101.15129214307709,1.3390998381883121,-1820.5742632034103,45.13575882680557,suevite
369.5,2.2741744919947884,100.56443148688048,1.339267972906282,-1377.2661048023328,44.99522859221895,polymict_lithic_breccia
370.0,2.2745321318734786,101.08656866839104,1.3394396218030884,-948.525280409336,43.22387671340646,polymict_lithic_breccia
370.5,2.274890381584692,101.07451895043732,1.3165332447629408,-734.332916319047,42.20990730929682,polymict_lithic_breccia
371.0,2.275249241128428,101.02454522924353,1.3562301458103825,-655.3858111829068,38.92409136590655,polymict_lithic_breccia
371.5,2.340857142857143,100.99454602299674,1.4082432364310864,-599.3925433079094,37.97321517819649,polymict_lithic_breccia
372.0,2.2759687897134695,101.41457725947522,1.340161359178684,-554.3889307694606,35.57935734353134,polymict_lithic_breccia
372.5,2.2763294787547736,100.93657263715703,1.3403505789696752,-447.9041623969133,31.17780603027265,polymict_lithic_breccia
373.0,2.361357142857144,100.73446064139942,1.3405433129395032,-267.78989509054105,25.718819404322915,polymict_lithic_breccia
373.5,2.2770526863349514,100.88129928685584,1.3952891897081163,-104.70822789662998,22.021812951653203,polymict_lithic_breccia
374.0,2.2774152048738245,99.85597667638484,1.3409393234156695,-49.33758264899903,22.499929680322634,polymict_lithic_breccia
374.5,2.4023571428571437,99.54425655976678,1.3842847672296863,-90.1401872416318,21.794432075171738,polymict_lithic_breccia
375.0,2.2781420714491385,100.80345182803879,1.3413493906071836,-215.7085199970482,21.42845092057546,polymict_lithic_breccia
375.5,2.3760000000000003,100.30938775510204,1.3502453817709537,-361.2864323009235,21.401986216533817,polymict_lithic_breccia
376.0,2.3323968253968257,100.75492856658391,1.3417735145140453,-462.0766169618919,21.715037963046786,polymict_lithic_breccia
376.5,2.2792369450560312,100.64944606413997,1.3419908477357314,-518.109319558589,22.367606160114384,polymict_lithic_breccia
377.0,2.295301587301588,100.70910534066759,1.3342079890521368,-529.3576517051872,23.359690807736605,polymict_lithic_breccia
377.5,2.325482142857143,100.68720624103638,1.3980181089920816,-495.82024438441425,24.691291905913452,polymict_lithic_breccia
378.0,2.2803373071556288,100.66598215028978,1.342663932473811,-457.240076510294,26.362409454644922,polymict_lithic_breccia
378.5,2.2807053141872067,100.64543306842782,1.337815487227526,-453.35306132406913,28.37304345393101,suevite
379.0,2.204678571428572,100.73446064139942,1.343130226526715,-484.1790268268127,33.663901754713635,suevite
379.5,2.281443157747932,100.60635993135782,1.3433686448214224,-544.4738192302761,29.321268520439872,suevite
380.0,2.2818129942770784,100.58783587614975,1.3133328658465833,-602.9013391332192,34.53129746067453,suevite
380.5,2.174904761904762,100.56998682982632,1.2638101914016922,-654.2275227841051,34.72525120551907,suevite
381.0,2.28255449683294,100.55281279238753,1.3441049847785653,-698.4621081472951,28.38558350383306,suevite
381.5,2.282926162859655,100.98950437317784,1.221046029451745,-733.4794651503832,24.511822814208585,suevite
382.0,2.283298438718893,100.52048974416384,1.2667082814949282,-746.5452892876557,26.37126683661487,suevite
382.5,2.283671324410654,100.50534073337892,1.3283152983056223,-735.5382674223183,26.791262082544392,suevite
383.0,2.284044819934937,101.35790087463558,1.3451359698918064,-700.455186711897,27.875824577157484,suevite
383.5,2.135857142857144,100.47706773846303,1.2811293996622255,-644.5678345035918,29.450435078214525,suevite
384.0,2.2847936404810723,100.46394375433204,1.345672547521448,-587.4863193703713,32.03865131243438,suevite
384.5,2.285168965502924,101.24454810495628,1.2621767224400502,-532.4800183406521,35.441538480451214,suevite
385.0,2.2855449003572983,100.4397208127239,1.3462231818664372,-479.6818913200703,39.67066170940788,suevite
385.5,2.127071428571429,100.4286218552468,1.296349225912635,-429.8917400366663,42.84296764748101,suevite
386.0,2.286298599563616,100.41819790665434,1.339213226372971,-383.2524479872161,45.70552361162853,suevite
386.5,2.286676363915559,100.98950437317784,1.3781280590890317,-339.7548941042705,48.15007165257347,suevite
387.0,2.287054738100025,100.39937503612327,1.347366620702458,-299.4021187436458,49.942392864420746,suevite
387.5,2.202238095238096,100.39097611418471,1.4205298442234937,-243.51820023424966,48.83716115875541,suevite
388.0,2.287813315966525,100.73446064139942,1.3479594251934894,-153.42721690498956,52.36112150531551,suevite
388.5,2.2670571428571438,100.37620329696145,1.470301190513705,-29.15769147652827,52.72135749914493,suevite
389.0,2.3528642857142863,100.36982940167675,1.5036472529836251,129.37594421312218,55.18239105670921,suevite
389.5,2.2889557565101954,100.36413051527671,1.5342338899580716,285.52327972618514,54.38204438226583,polymict_lithic_breccia
390.0,2.289337789689798,99.88431486880468,1.3491872043215953,402.36068491631073,55.22056906050613,polymict_lithic_breccia
390.5,2.3076666666666674,100.35475776913049,1.3495029345507141,571.4069612620369,56.00951024245919,polymict_lithic_breccia
